Number;;Task;Kommenater
11;;Mount transport cap of old HE bottle 2;
12;;Remove temperature sensor from old HE bottle 2;
13;;Remove the rod thermometer of the old HE bottle 2 from water;
14;;Remove the immersion heater of the old HE bottle 2 from the water;
15;;Pump out water from the barrel of the old HE bottle 2;
16;;Roll old HE bottle 2 including barrel from HPSM ;
17;;Remove old HE bottle 2 from barrel ;
18;;Place HE bottle 2 in barrel;
19;;Place HE bottle 2 on HSPM;
20;;Close chain for HE bottle 2 on HPSM;
21;;Check if old N2O bottle 1 is closed, if not, close bottle;
22;;Carefully remove the connector from the old N2O bottle 1 bottle;
23;;Mount transport cap of old N2O bottle 1;
24;;Remove temperature sensor from old N2O bottle 1;
25;;Remove the rod thermometer of the old N2O bottle 1 from water;
26;;Remove the immersion heater of the old N2O bottle 1 from the water;
27;;Pump out water from the barrel of the old N2O bottle 1 bottle;
28;;Roll old N2O bottle 1 including barrel from N2OSM;
29;;Remove old N2O bottle 1 from barrel ;
30;;Place N2O bottle 1 in barrel;
31;;Place N2O bottle 1 on N2OSM;
32;;Close chain for N2O bottle 1 on N2OSM;
33;;Check if old N2O bottle 2 is closed, if not, close bottle;
34;;Carefully remove the connector from the old N2O bottle 2 bottle;
35;;Mount transport cap of old N2O bottle 2;
36;;Remove temperature sensor from old N2O bottle 2;
37;;Remove the rod thermometer of the old N2O bottle 2 from water;
38;;Remove the immersion heater of the old N2O bottle 2 from the water;
39;;Pump out water from the barrel of the old N2O bottle 2 bottle;
40;;Roll old N2O bottle 2 including barrel from N2OSM;
41;;Remove old N2O bottle 2 from barrel ;
42;;Place N2O bottle 2 in barrel;
43;;Place N2O bottle 2 on N2OSM;
44;;Close chain for N2O bottle 2 on N2OSM;
45;;Glue temperature sensor to HE bottle 1 at middle height of the bottle;
46;;Glue temperature sensor to HE bottle 2 at middle height of the bottle;
47;;Fill barrel of HE bottle 2 with water;
48;;Install immersion heater for HE bottle 2 (observe distance to bottle and barrel;
49;;Put rod thermometer for HE bottle 2 into water;
50;;Glue temperature sensor to N2O bottle 1 at middle height of the bottle;
51;;Fill barrel of N2O bottle 1 with water;
52;;Install immersion heater for N2O bottle 1 (observe distance to bottle and barrel;
53;;Put rod thermometer for N2O bottle 1 into water;
54;;Glue temperature sensor to N2O bottle 2 at middle height of the bottle;
55;;Fill barrel of N2O bottle 2 with water;
56;;Install immersion heater for N2O bottle 2 (observe distance to bottle and barrel;
57;;Put rod thermometer for N2O bottle 2 into water;
58;;Open transport cap of HE bottle 1;
59;;Mount connector to HE bottle 1;
60;;Open transport cap of HE bottle 2;
61;;Mount connector to HE bottle 2;
62;;Open transport cap of N2O bottle 1;
63;;Mount connector to N2O bottle 1;
64;;Open transport cap of N2O bottle 2;
65;;Mount connector to N2O bottle 2;
